"","x"
"0.005",6.83702952311814
"0.01",7.36597228663386
"0.015",7.60571445937613
"0.02",8.19232868035973
"0.025",8.34240830061503
"0.03",8.72862429938683
"0.035",9.14066619486223
"0.04",9.89211282239706
"0.045",9.68431910848838
"0.05",10.5952051062775
"0.055",11.0657721270561
"0.06",11.9840995213957
"0.065",13.0482465072456
"0.07",13.8203258141858
"0.075",14.444912367537
"0.08",15.4855697240577
"0.085",16.8934554651212
"0.09",18.2475657386207
"0.095",19.5493333368232
"0.1",22.8975455357347
"0.105",25.0584006271455
"0.11",25.5483775842547
"0.115",25.5441617489951
"0.12",31.6961668157026
"0.125",28.8553764896934
"0.13",29.0744787244601
"0.135",33.1756829572481
"0.14",35.076677942821
"0.145",31.0258977845124
"0.15",36.9759258240449
"0.155",38.9789536820354
"0.16",38.601829295848
"0.165",43.1419823280943
"0.17",45.9289435950238
"0.175",48.9102152869221
"0.18",44.9670539659018
"0.185",42.9841714868609
"0.19",46.9655078008114
"0.195",48.0702023031746
"0.2",58.1726974415767
"0.205",58.706051547215
"0.21",69.4112678235331
"0.215",61.7748225633551
"0.22",72.6669174056701
"0.225",64.2557065944783
"0.23",74.3338815605225
"0.235",74.8587140082316
"0.24",78.279356246802
"0.245",82.8638721874816
"0.25",73.9185601786668
"0.255",71.0434059410136
"0.26",74.1232558407802
"0.265",74.3034565363774
"0.27",88.5099166006663
"0.275",72.3648490257521
"0.28",66.4610065382128
"0.285",71.8568918144433
"0.29",76.0939042671044
"0.295",90.1143654289435
"0.3",84.3283208586535
"0.305",81.3477802077687
"0.31",93.2611132935066
"0.315",95.3763453771597
"0.32",103.639041302781
"0.325",106.102405215557
"0.33",89.1790350226496
"0.335",85.2391542497493
"0.34",96.4525460271606
"0.345",83.8168725683492
"0.35",95.743850304951
"0.355",103.169120904705
"0.36",100.838108244508
"0.365",100.013304856947
"0.37",101.939789852472
"0.375",142.093313496137
"0.38",120.667897371591
"0.385",115.266696034924
"0.39",125.947902847692
"0.395",111.022073316196
"0.4",121.685141550551
"0.405",118.476025685498
"0.41",120.153329809698
"0.415",129.008880087265
"0.42",125.207057172579
"0.425",111.39020086497
"0.43",105.31313924867
"0.435",118.84772816815
"0.44",124.639261084
"0.445",139.153065994436
"0.45",119.764901449856
"0.455",126.399727378005
"0.46",96.222729137594
"0.465",126.135965873612
"0.47",107.285221966125
"0.475",130.161012757716
"0.48",127.026085939024
"0.485",139.497436569539
"0.49",134.957852108569
"0.495",128.336388777444
"0.5",131.536137248863
"0.505",133.907307206908
"0.51",135.112906183246
"0.515",153.611953593599
"0.52",146.732946022944
"0.525",153.232795979932
"0.53",128.435989632184
"0.535",149.466541359856
"0.54",121.521451800585
"0.545",157.946417231642
"0.55",169.822723894408
"0.555",161.474574384479
"0.56",170.825258166821
"0.565",169.449057351111
"0.57",173.731411893812
"0.575",182.100952568804
"0.58",201.758259245525
"0.585",177.370040477965
"0.59",195.416356354592
"0.595",153.808292084238
"0.6",161.788298960003
"0.605",166.250225644385
"0.61",190.432903880958
"0.615",189.193008102737
"0.62",172.27884651705
"0.625",182.297952634581
"0.63",184.421014723948
"0.635",154.795345013817
"0.64",153.001185349398
"0.645",178.558096662683
"0.65",146.37986645159
"0.655",154.284744351068
"0.66",154.866886421218
"0.665",207.400436775342
"0.67",173.838223759741
"0.675",190.140494469198
"0.68",202.113936669154
"0.685",217.955038550085
"0.69",191.014253722892
"0.695",222.125992688985
"0.7",188.382881787853
"0.705",204.828834676434
"0.71",207.298030859599
"0.715",202.223103997558
"0.72",226.192020289216
"0.725",256.941301519474
"0.73",209.562824027616
"0.735",215.371308958251
"0.74",222.18074213264
"0.745",251.346864228759
"0.75",240.656356394164
"0.755",252.962202939709
"0.76",238.849098834146
"0.765",269.037536008562
"0.77",246.516173971462
"0.775",297.171691312835
"0.78",240.843529902925
"0.785",211.0025497343
"0.79",198.807427281884
"0.795",230.734440108773
"0.8",252.909740754155
"0.805",293.580098400021
"0.81",252.091842549921
"0.815",272.433836011591
"0.82",241.47653036946
"0.825",218.131283194953
"0.83",260.815789518713
"0.835",255.973567101711
"0.84",285.953946904125
"0.845",284.541100873182
"0.85",257.213155020997
"0.855",237.579819186893
"0.86",313.98478063227
"0.865",312.732153969506
"0.87",324.063643727125
"0.875",352.415585593587
"0.88",339.210401739711
"0.885",331.29732468297
"0.89",329.483602083469
"0.895",372.413382970908
"0.9",389.204186483112
"0.905",339.382063063196
"0.91",366.910077726013
"0.915",320.116354237541
"0.92",318.54692783579
"0.925",353.764951879551
"0.93",370.867884511067
"0.935",396.115330790299
"0.94",366.766221041694
"0.945",339.194965935254
"0.95",389.507052506639
"0.955",339.200347977501
"0.96",361.19547757702
"0.965",360.212213528307
"0.97",340.325465552405
"0.975",313.519702011607
"0.98",367.178180987369
"0.985",411.535184122371
"0.99",368.625793071527
