"","x"
"0.005",4.97202515823218
"0.01",5.20586460954389
"0.015",5.431830600639
"0.02",5.6827566150774
"0.025",5.74757493504719
"0.03",6.04592973964224
"0.035",6.20146013913479
"0.04",6.37278351016979
"0.045",6.5669432761316
"0.05",6.76567643420512
"0.055",7.05936110027827
"0.06",7.28970665263462
"0.065",7.74474809842344
"0.07",7.9821809976837
"0.075",8.23854289532926
"0.08",8.61789979436801
"0.085",8.92509741281566
"0.09",9.49726434270534
"0.095",9.84774654905817
"0.1",10.1925377809882
"0.105",10.7442413968644
"0.11",11.4272823216965
"0.115",11.7798594396063
"0.12",12.7721492668102
"0.125",13.2333860865941
"0.13",13.8750104438006
"0.135",14.5197875533987
"0.14",14.9599078551614
"0.145",15.1635278295377
"0.15",15.1644606722539
"0.155",15.65604242243
"0.16",16.7200073037975
"0.165",17.1558039802457
"0.17",17.5111377369946
"0.175",18.0420930907987
"0.18",18.3616513239283
"0.185",17.6131910508021
"0.19",18.5145800899788
"0.195",20.9467435579847
"0.2",22.547282408823
"0.205",23.2235520717709
"0.21",24.8973967288351
"0.215",25.3573358129307
"0.22",25.4905367353678
"0.225",27.8205214228547
"0.23",29.7594532336463
"0.235",28.6941922193244
"0.24",26.9887478073311
"0.245",27.4854143127329
"0.25",27.2973267030479
"0.255",26.4986181844239
"0.26",26.2618295841311
"0.265",26.2426246385593
"0.27",27.4651121774691
"0.275",29.2444682187511
"0.28",29.6955318458697
"0.285",31.6130139846282
"0.29",31.7556038480963
"0.295",34.7005160769337
"0.3",34.5554405002559
"0.305",31.282909602592
"0.31",31.043422056163
"0.315",33.3317984809908
"0.32",32.0022338015992
"0.325",33.5016118485229
"0.33",36.3362607690985
"0.335",38.2829605833093
"0.34",40.9805197620396
"0.345",42.0126024125388
"0.35",43.7020599395854
"0.355",40.9516978591098
"0.36",45.7224032549095
"0.365",40.1370456460193
"0.37",40.8317420770709
"0.375",45.8335462217499
"0.38",45.4277030608891
"0.385",45.5957755266342
"0.39",50.8070556750296
"0.395",49.5893595188223
"0.4",48.9737247721444
"0.405",47.022649021397
"0.41",50.8050009731156
"0.415",53.0604409471211
"0.42",53.7926940871925
"0.425",56.397668266228
"0.43",61.7452707480967
"0.435",56.5733039699371
"0.44",56.0437043613538
"0.445",54.3271548120699
"0.45",54.5556398792239
"0.455",56.7718229482661
"0.46",60.9579351620302
"0.465",54.8915184137421
"0.47",56.2040191007741
"0.475",55.0868317735118
"0.48",55.0077391044548
"0.485",54.7568935959222
"0.49",55.3855603982885
"0.495",56.7421500262042
"0.5",57.8492284299723
"0.505",57.6898640211653
"0.51",56.6462081277133
"0.515",55.3801556253201
"0.52",55.3465307602667
"0.525",60.0472378684957
"0.53",60.1834604018737
"0.535",60.3398240879166
"0.54",58.3330472315104
"0.545",60.2566300748102
"0.55",61.8873187709813
"0.555",61.551798002206
"0.56",61.0199290269672
"0.565",62.3471349409957
"0.57",59.9585012050771
"0.575",62.5899818931247
"0.58",65.4848645738591
"0.585",63.6968309754625
"0.59",69.6583172208268
"0.595",72.9046922735188
"0.6",67.044548485713
"0.605",72.0044302693641
"0.61",73.4673167944558
"0.615",71.0478354048957
"0.62",70.8087892855499
"0.625",78.1262529997834
"0.63",78.1265437789285
"0.635",80.7720728849416
"0.64",84.843470356897
"0.645",84.5266690930714
"0.65",91.8782019659658
"0.655",90.2586950197184
"0.66",89.8090297257825
"0.665",92.6948988430348
"0.67",96.7850539333376
"0.675",96.8646089582064
"0.68",94.1902749828902
"0.685",92.8174548031939
"0.69",97.5311717344278
"0.695",98.8852430185972
"0.7",94.9213292950475
"0.705",101.425750007645
"0.71",106.243674316725
"0.715",98.9770398538214
"0.72",91.3461597323794
"0.725",96.9568827788906
"0.73",97.899810146619
"0.735",98.7378053719316
"0.74",102.881050093236
"0.745",105.234966191917
"0.75",101.864103023344
"0.755",104.79027510908
"0.76",110.201251342587
"0.765",108.25791814205
"0.77",113.619071083965
"0.775",116.144387672468
"0.78",119.806729450582
"0.785",115.763340038264
"0.79",121.422227343744
"0.795",121.334798251893
"0.8",123.670621811044
"0.805",131.628380970142
"0.81",118.974241862877
"0.815",122.432532016642
"0.82",119.673136717739
"0.825",126.952240883197
"0.83",131.308986480842
"0.835",127.03566216468
"0.84",120.779448648995
"0.845",126.758700258754
"0.85",138.540714180831
"0.855",133.791479290974
"0.86",137.785257197111
"0.865",149.082007584851
"0.87",156.561433780353
"0.875",141.460737363704
"0.88",139.888564261648
"0.885",133.560575988808
"0.89",141.744448931043
"0.895",154.34331041132
"0.9",143.353535427499
"0.905",158.75245043229
"0.91",146.03156724596
"0.915",163.995619182159
"0.92",159.09919594367
"0.925",162.186633922196
"0.93",155.584932319607
"0.935",148.407176846158
"0.94",159.791394126863
"0.945",147.721835582914
"0.95",145.394267929079
"0.955",152.889581460926
"0.96",156.682178424787
"0.965",169.876448272651
"0.97",171.249356122179
"0.975",161.148760126146
"0.98",178.885253105157
"0.985",179.755732719095
"0.99",184.08692566506
