"","x"
"0.005",6.61761078815615
"0.01",6.7651207902434
"0.015",7.12364366279076
"0.02",7.35546096214033
"0.025",7.38304097869684
"0.03",7.65805765433903
"0.035",7.92441307236303
"0.04",7.96824965027126
"0.045",8.07286372516412
"0.05",8.13709069681892
"0.055",8.24212295854824
"0.06",8.45505488501845
"0.065",8.70048362514954
"0.07",8.88085669470069
"0.075",9.19743892182158
"0.08",9.27819679592726
"0.085",9.36433219082806
"0.09",9.62519024688375
"0.095",9.69672778481842
"0.1",10.0899804725846
"0.105",10.3823905929472
"0.11",10.4560010664068
"0.115",10.5727233888848
"0.12",10.6987233535472
"0.125",11.0701160027238
"0.13",11.4908785972764
"0.135",11.5495533674257
"0.14",11.9814356247757
"0.145",12.1910254468774
"0.15",12.4029566225889
"0.155",12.7337093535952
"0.16",12.9799123062978
"0.165",13.3224072377004
"0.17",13.4708807126751
"0.175",14.0735282891632
"0.18",14.8090379184506
"0.185",15.2598918917383
"0.19",15.7588523334835
"0.195",15.9599865342613
"0.2",16.2982776602624
"0.205",16.6237776346978
"0.21",16.7823915894264
"0.215",16.9232692565486
"0.22",17.0935694480571
"0.225",17.6038348044469
"0.23",18.4893690943536
"0.235",19.3995007904382
"0.24",19.6922841007741
"0.245",20.7823319351176
"0.25",23.2177549157369
"0.255",24.0921728254407
"0.26",24.1890431440348
"0.265",25.4748115537369
"0.27",26.1442734596468
"0.275",26.6351274161408
"0.28",27.3427486322468
"0.285",27.3530918702573
"0.29",29.344023007043
"0.295",31.6683115440044
"0.3",32.9356113990958
"0.305",32.7019232149604
"0.31",34.8788536593218
"0.315",36.2315371340043
"0.32",37.0711933564633
"0.325",38.7394515285656
"0.33",40.5708035336203
"0.335",40.5846862539914
"0.34",43.6341216591425
"0.345",44.7958549035141
"0.35",44.5436622539315
"0.355",44.9559712621222
"0.36",46.4974732419857
"0.365",45.9005746438968
"0.37",44.1255003066656
"0.375",44.1578490081507
"0.38",45.007139149012
"0.385",44.4872746997805
"0.39",46.8013789288806
"0.395",49.2627668189046
"0.4",49.2151791009139
"0.405",50.6496091732716
"0.41",48.9860791945761
"0.415",49.1218896064532
"0.42",50.2537674048362
"0.425",50.9756720776367
"0.43",52.1813904418393
"0.435",49.7639336866185
"0.44",53.1121504039035
"0.445",53.9273133851616
"0.45",61.2958524156705
"0.455",58.1059740905622
"0.46",61.184379301029
"0.465",70.0521948558526
"0.47",65.3522820565671
"0.475",63.1539923907743
"0.48",65.4726158350845
"0.485",67.2500369924983
"0.49",68.6399562720786
"0.495",71.4807066954725
"0.5",73.1716358642085
"0.505",76.1204703147779
"0.51",82.1491055685563
"0.515",80.8479801950816
"0.52",81.3290971965829
"0.525",83.9871454587924
"0.53",84.4185744346836
"0.535",78.9539321998027
"0.54",85.9379635262346
"0.545",88.4181262688227
"0.55",88.6705694114005
"0.555",93.0948105779586
"0.56",92.970972192858
"0.565",100.625012849659
"0.57",90.4164571317518
"0.575",99.7451498259046
"0.58",97.2480441446424
"0.585",99.4186027575559
"0.59",109.510826653663
"0.595",116.165688642339
"0.6",113.601922555567
"0.605",111.049580431853
"0.61",128.329018360512
"0.615",119.426857385248
"0.62",110.578357871129
"0.625",110.004477708116
"0.63",109.519408107476
"0.635",106.985562771816
"0.64",110.489032467283
"0.645",110.871111126666
"0.65",122.431728595709
"0.655",120.917138386795
"0.66",125.221179129961
"0.665",141.154949273638
"0.67",149.534178838259
"0.675",164.50897538527
"0.68",160.176010736327
"0.685",165.220201717535
"0.69",179.006261500667
"0.695",171.203652486638
"0.7",169.925168591714
"0.705",169.720370278525
"0.71",174.640794180592
"0.715",179.967948532562
"0.72",160.568478284107
"0.725",165.363924719007
"0.73",159.601588524798
"0.735",180.693315623358
"0.74",163.08161449125
"0.745",162.721406550709
"0.75",151.267957792577
"0.755",149.456893285801
"0.76",161.767906523122
"0.765",174.091701557495
"0.77",164.709239599719
"0.775",166.692040500503
"0.78",165.489158729296
"0.785",181.645563773175
"0.79",174.25695295823
"0.795",172.838634794313
"0.8",157.894895246803
"0.805",154.700441858299
"0.81",165.146151511626
"0.815",174.336157853781
"0.82",180.069824488119
"0.825",232.012579148686
"0.83",202.024134125613
"0.835",214.610245477328
"0.84",220.028426928643
"0.845",221.586686988879
"0.85",205.296545925192
"0.855",222.685625402312
"0.86",217.40842792985
"0.865",224.876645031878
"0.87",254.006733183513
"0.875",237.721680053788
"0.88",238.75594632685
"0.885",291.437328228174
"0.89",274.440218087349
"0.895",263.213029357235
"0.9",240.069236554537
"0.905",248.297393348415
"0.91",234.785047814632
"0.915",244.895411618085
"0.92",236.108020798966
"0.925",233.74670177748
"0.93",233.730749821122
"0.935",242.700625889692
"0.94",246.851618272528
"0.945",263.01735677177
"0.95",286.211597426981
"0.955",291.822778802249
"0.96",304.090159460632
"0.965",287.70602285133
"0.97",283.403178360527
"0.975",287.441797345605
"0.98",306.206145797726
"0.985",306.14363749634
"0.99",300.556220664375
