"","x"
"0.005",6.58489085915615
"0.01",6.68903875545177
"0.015",6.97113581110639
"0.02",7.2445211275108
"0.025",7.35763986560679
"0.03",7.56441740239046
"0.035",7.72209985654096
"0.04",7.81269505576186
"0.045",8.04889751637746
"0.05",8.09238947402502
"0.055",8.21580586861975
"0.06",8.33260297556562
"0.065",8.52778554747661
"0.07",8.71123241921831
"0.075",8.97957328024483
"0.08",9.14857739048349
"0.085",9.24464365641014
"0.09",9.24002650276681
"0.095",9.55128554561178
"0.1",9.74769557962829
"0.105",9.88731449052053
"0.11",9.98864485272786
"0.115",10.2548105024076
"0.12",10.5352222707102
"0.125",10.6783685865636
"0.13",10.9358035112273
"0.135",11.4067776624622
"0.14",11.5290166120738
"0.145",11.8855193703903
"0.15",12.0798479403518
"0.155",12.3084462936528
"0.16",12.6487257407682
"0.165",13.0390211084209
"0.17",13.4285383171437
"0.175",13.6960832009671
"0.18",13.8958802069656
"0.185",14.3664404451532
"0.19",14.5527022786143
"0.195",15.0292356191663
"0.2",15.4013876490077
"0.205",15.7117144696455
"0.21",15.9910564950137
"0.215",16.35331289552
"0.22",16.8485176712979
"0.225",16.981746527064
"0.23",17.3945611948775
"0.235",17.8080618619786
"0.24",18.6068850090959
"0.245",18.7291097127094
"0.25",19.572636981638
"0.255",19.6159676005082
"0.26",20.497938250256
"0.265",20.9915479416023
"0.27",21.4023123331967
"0.275",21.5090083805818
"0.28",22.0982296862352
"0.285",22.2712091862911
"0.29",23.3708082393516
"0.295",24.0441542248582
"0.3",24.3933328281495
"0.305",25.6190389568542
"0.31",27.1138505756954
"0.315",27.9822143818715
"0.32",29.3621804401976
"0.325",30.0987422073148
"0.33",30.5808147289775
"0.335",31.5114360457199
"0.34",32.3461654933385
"0.345",32.944196470179
"0.35",33.4606678261723
"0.355",35.0274662852086
"0.36",37.9129562976665
"0.365",38.5011708550599
"0.37",37.9779965077405
"0.375",38.8722940691927
"0.38",39.1739043017015
"0.385",40.7653761518766
"0.39",42.2248530407544
"0.395",43.0557730571758
"0.4",44.6221122797688
"0.405",44.4370411528627
"0.41",46.7295811119933
"0.415",48.6561025821216
"0.42",51.3787451452328
"0.425",51.8690724740749
"0.43",55.6285799976335
"0.435",56.1221832586955
"0.44",56.647693489297
"0.445",58.8135244881285
"0.45",61.1832184208464
"0.455",60.6021437839394
"0.46",61.4912411510725
"0.465",62.6623258292179
"0.47",61.8757253229678
"0.475",66.3732768672181
"0.48",64.4116210075172
"0.485",65.6301851279857
"0.49",69.039766985019
"0.495",65.0575185140895
"0.5",66.4464750895651
"0.505",67.7348522412061
"0.51",70.4018196770947
"0.515",71.0149032407184
"0.52",71.3027838795725
"0.525",72.1909753099093
"0.53",74.1348556960315
"0.535",76.9125675409819
"0.54",78.8333971391524
"0.545",82.1185295469693
"0.55",88.3899710887371
"0.555",89.279153371786
"0.56",90.5417655413725
"0.565",89.6892655100347
"0.57",93.6752586333518
"0.575",102.8586764466
"0.58",103.761083686035
"0.585",100.625851881992
"0.59",102.158350667757
"0.595",105.51493779596
"0.6",105.370654889332
"0.605",113.408287399928
"0.61",111.286189037753
"0.615",116.297340663988
"0.62",114.893282578528
"0.625",118.521864020127
"0.63",117.601998052333
"0.635",113.425618356907
"0.64",125.332093650712
"0.645",135.078742689183
"0.65",123.182956711205
"0.655",120.179115511218
"0.66",125.91707462811
"0.665",131.095210374731
"0.67",130.624620544216
"0.675",133.495678054776
"0.68",136.082898061731
"0.685",137.786713066372
"0.69",134.659099616986
"0.695",137.983525373029
"0.7",145.783053593756
"0.705",159.448357752804
"0.71",153.772606904662
"0.715",156.849455703772
"0.72",173.874357463306
"0.725",171.676845658497
"0.73",178.80534186151
"0.735",179.203591872682
"0.74",187.890969697401
"0.745",211.123595354019
"0.75",196.685421246511
"0.755",197.878263896949
"0.76",185.244546441137
"0.765",194.573837892517
"0.77",202.633052824702
"0.775",204.417786257835
"0.78",183.807267706633
"0.785",179.935313060148
"0.79",189.998256461215
"0.795",201.794680343871
"0.8",216.332384845485
"0.805",226.347266357066
"0.81",229.816695686382
"0.815",221.171279938235
"0.82",222.964916195824
"0.825",210.384451337848
"0.83",213.188448268167
"0.835",208.561728361217
"0.84",213.487568608449
"0.845",219.120319380803
"0.85",230.800559068674
"0.855",247.077317855082
"0.86",233.524081146784
"0.865",216.104288540934
"0.87",219.710668971476
"0.875",222.303226225206
"0.88",238.402106393193
"0.885",241.571550338544
"0.89",236.937372992379
"0.895",242.564329162951
"0.9",260.920100176218
"0.905",269.490369713554
"0.91",264.819905017083
"0.915",248.430325882555
"0.92",266.337382923253
"0.925",257.890909703179
"0.93",247.424112762492
"0.935",276.903037009227
"0.94",281.49026442739
"0.945",276.125801723543
"0.95",273.767122473316
"0.955",275.348241637945
"0.96",302.174468423502
"0.965",263.678362135497
"0.97",276.136959158509
"0.975",285.744379322752
"0.98",296.151618799554
"0.985",289.411099732311
"0.99",291.740036259461
