"","x"
"0.005",2.7386446423873
"0.01",2.79394514044368
"0.015",2.82596818357697
"0.02",2.86101407978011
"0.025",2.91392588014101
"0.03",2.97588578899897
"0.035",3.04206698747046
"0.04",3.06782674554399
"0.045",3.16098727949513
"0.05",3.24874307058922
"0.055",3.32196612255327
"0.06",3.38535446544193
"0.065",3.50255668077732
"0.07",3.62380553265791
"0.075",3.71278651369943
"0.08",3.82494204108368
"0.085",3.94217042032777
"0.09",4.03505908675254
"0.095",4.18907030563727
"0.1",4.36369057792031
"0.105",4.45527846981299
"0.11",4.58840914080979
"0.115",4.72551901604664
"0.12",4.88056300316872
"0.125",5.0177519722694
"0.13",5.21561688334892
"0.135",5.31045992222164
"0.14",5.43475507642572
"0.145",5.58870698117234
"0.15",5.83369294995923
"0.155",6.00987581880472
"0.16",6.2320291809279
"0.165",6.36697381728965
"0.17",6.50213190068976
"0.175",6.73721537538188
"0.18",6.90578109004561
"0.185",7.10824397563312
"0.19",7.25194914973272
"0.195",7.47176687249044
"0.2",7.66231565192173
"0.205",7.86551260052888
"0.21",7.99783440859885
"0.215",8.26818064414901
"0.22",8.30594969823248
"0.225",8.41764955810522
"0.23",8.80469092780795
"0.235",8.99884943124821
"0.24",9.35001629010546
"0.245",9.53907587376633
"0.25",9.72699246543543
"0.255",10.0342735335463
"0.26",10.2338035699408
"0.265",10.4188225792312
"0.27",10.8166581777451
"0.275",11.0613514875787
"0.28",11.2960607499023
"0.285",11.5530706361328
"0.29",11.8575616955081
"0.295",11.9846138505504
"0.3",12.2939416926248
"0.305",12.5958468519096
"0.31",12.9612599620239
"0.315",13.4496894316155
"0.32",13.8210111396847
"0.325",14.0358328389713
"0.33",14.4539583252194
"0.335",14.896351990673
"0.34",15.1858488044192
"0.345",15.4733811245871
"0.35",15.8127275054933
"0.355",16.0949774129974
"0.36",16.1708264054202
"0.365",16.6367818429613
"0.37",16.8394511749049
"0.375",17.1989552456756
"0.38",17.8912069961747
"0.385",18.2177946267125
"0.39",18.6790360053637
"0.395",19.1576220753632
"0.4",19.6371009598046
"0.405",19.7920189276958
"0.41",20.6755969257631
"0.415",20.6863600646973
"0.42",20.7348640510021
"0.425",21.3989971591561
"0.43",21.9094753184859
"0.435",22.5912508884023
"0.44",23.0652372600073
"0.445",23.3697404393669
"0.45",23.722280037574
"0.455",23.8363177801513
"0.46",23.9585072882551
"0.465",24.812593646754
"0.47",25.4913396832639
"0.475",25.8245207840598
"0.48",26.3285711852872
"0.485",26.5623576367124
"0.49",27.0504896157704
"0.495",27.551595408683
"0.5",28.0116721420768
"0.505",28.4088357776749
"0.51",29.0328676403132
"0.515",29.4144360458338
"0.52",29.9147383663819
"0.525",30.4108555376068
"0.53",30.5226812976296
"0.535",31.2831553418569
"0.54",31.6741881874538
"0.545",32.2244888727924
"0.55",32.6511938027588
"0.555",33.8272582467748
"0.56",34.4430339897389
"0.565",34.1255884853882
"0.57",35.4515823894074
"0.575",36.3703898565961
"0.58",36.3621743588177
"0.585",37.1211936006884
"0.59",38.0795254397486
"0.595",38.3221924329897
"0.6",38.3362486729412
"0.605",39.6078171153973
"0.61",40.8466333356411
"0.615",41.8702536687118
"0.62",41.9405209514646
"0.625",42.4856498319497
"0.63",44.0605792318891
"0.635",45.0177772786554
"0.64",44.8657906756554
"0.645",45.6715534076734
"0.65",46.1273706993874
"0.655",46.1265807422637
"0.66",47.5645734500778
"0.665",49.6454927445772
"0.67",50.3510369460659
"0.675",51.3340989248603
"0.68",51.0411123928676
"0.685",51.8066498101066
"0.69",51.6679952572087
"0.695",53.5520022422596
"0.7",52.7380809606467
"0.705",52.8510811269382
"0.71",53.8475963090604
"0.715",54.0153359690295
"0.72",55.0710031035519
"0.725",56.1529531314106
"0.73",56.9439276988425
"0.735",58.1440436778517
"0.74",57.6691454667122
"0.745",57.5783816123451
"0.75",59.9802043365848
"0.755",62.0663406213771
"0.76",61.8642973579215
"0.765",62.5080416609864
"0.77",63.3449412403966
"0.775",64.0973016985452
"0.78",64.1951066022293
"0.785",67.4615900533859
"0.79",68.233830412959
"0.795",66.392467259673
"0.8",67.0641708782382
"0.805",68.3310278220416
"0.81",69.0684372188046
"0.815",68.2643274317105
"0.82",70.0720873436142
"0.825",71.9556563474682
"0.83",72.1255530503642
"0.835",72.9083563540416
"0.84",75.8922766066957
"0.845",75.9442394028748
"0.85",78.0671283228135
"0.855",78.8659844189122
"0.86",78.8427446811918
"0.865",79.1504024587161
"0.87",79.8256045702439
"0.875",79.0058235311885
"0.88",79.0485136742416
"0.885",79.7433875669698
"0.89",78.5187329828678
"0.895",79.9557290494059
"0.9",81.4728432349134
"0.905",82.0435637305277
"0.91",82.7137921444976
"0.915",83.0115748427297
"0.92",84.02607790556
"0.925",87.043923091463
"0.93",88.8835286446326
"0.935",88.6180442836552
"0.94",88.3649549012919
"0.945",91.0502605247349
"0.95",91.0798960090622
"0.955",88.9418210214686
"0.96",92.423297607706
"0.965",93.2084097912773
"0.97",93.503884877483
"0.975",93.7249073570332
"0.98",96.7665178545021
"0.985",95.6222186188159
"0.99",96.3908287616336
