"","x"
"0.005",2.71631351115035
"0.01",2.77440627123008
"0.015",2.80000020106515
"0.02",2.81486893327231
"0.025",2.85361941588756
"0.03",2.89855313377555
"0.035",2.9266485429977
"0.04",2.98087428626213
"0.045",3.00889094824655
"0.05",3.04103675009838
"0.055",3.0992968160547
"0.06",3.14569507898965
"0.065",3.19925712506435
"0.07",3.27314491722001
"0.075",3.35824790097108
"0.08",3.41507270962142
"0.085",3.48178178253522
"0.09",3.54970315469187
"0.095",3.6172246877522
"0.1",3.71012126460049
"0.105",3.77891505601502
"0.11",3.86389780972883
"0.115",3.96018730273568
"0.12",4.05616556293263
"0.125",4.12732214608043
"0.13",4.2145549741767
"0.135",4.30244121106776
"0.14",4.38197022940742
"0.145",4.43474106703549
"0.15",4.5403642499732
"0.155",4.63411361229901
"0.16",4.73830385911261
"0.165",4.82743141479645
"0.17",4.92142274238404
"0.175",5.04691796999273
"0.18",5.13331046430558
"0.185",5.18975045464726
"0.19",5.31566728862707
"0.195",5.38182856947938
"0.2",5.43789710048108
"0.205",5.55440970091467
"0.21",5.68431646324485
"0.215",5.76668012463041
"0.22",5.88704284107492
"0.225",6.03606328484035
"0.23",6.16047137515292
"0.235",6.24663974857338
"0.24",6.40395471513141
"0.245",6.53852316614506
"0.25",6.66180081960433
"0.255",6.79152735217812
"0.26",6.94427007911349
"0.265",7.04075046215976
"0.27",7.13578413352189
"0.275",7.27837237521426
"0.28",7.4133753977424
"0.285",7.52185942985939
"0.29",7.65823835089306
"0.295",7.77649003816211
"0.3",7.87296518841044
"0.305",8.01249724956737
"0.31",8.15673842887543
"0.315",8.30056076291499
"0.32",8.45018730612646
"0.325",8.60808334370876
"0.33",8.79168546883866
"0.335",8.98942167965902
"0.34",9.19130201984843
"0.345",9.35055144649045
"0.35",9.49906771302801
"0.355",9.75284738081528
"0.36",9.99180085511683
"0.365",10.1049451124636
"0.37",10.3061796247804
"0.375",10.4712277530679
"0.38",10.6573604436924
"0.385",10.8823028142507
"0.39",11.0215090848716
"0.395",11.2754179671335
"0.4",11.5098534532431
"0.405",11.7486407199393
"0.41",12.0718694671106
"0.415",12.2571768247255
"0.42",12.4098687773332
"0.425",12.6666129464168
"0.43",12.9052847753215
"0.435",13.17213443578
"0.44",13.4030203974441
"0.445",13.5404243924763
"0.45",13.7441408570304
"0.455",13.987661875726
"0.46",14.2036804178649
"0.465",14.5684966500515
"0.47",14.8491546926456
"0.475",15.1097592101853
"0.48",15.3081416459317
"0.485",15.5474040466646
"0.49",15.8753364634316
"0.495",16.156115467581
"0.5",16.4751065306581
"0.505",16.8925051599759
"0.51",17.223164226282
"0.515",17.4883956291204
"0.52",17.6705023847013
"0.525",17.9754119530238
"0.53",18.2930142513559
"0.535",18.686604869486
"0.54",19.0999665314931
"0.545",19.4682072936755
"0.55",19.7897158518077
"0.555",20.1254745034382
"0.56",20.4851498962129
"0.565",20.7276533100732
"0.57",21.0711202533841
"0.575",21.3428409083352
"0.58",21.7375336854536
"0.585",22.0523344319993
"0.59",22.4252768930127
"0.595",22.7162914068096
"0.6",23.0034644377606
"0.605",23.2764353943585
"0.61",23.6329689449664
"0.615",23.9447334809922
"0.62",24.3553480035057
"0.625",24.6262401133789
"0.63",25.1083151477691
"0.635",25.511089644695
"0.64",25.9574138699808
"0.645",26.3622691103711
"0.65",26.6859540560283
"0.655",27.1604334115827
"0.66",27.5710313578959
"0.665",27.8793237841034
"0.67",28.2764622261706
"0.675",28.7314302552281
"0.68",29.1768143051708
"0.685",29.478317422602
"0.69",30.0756515957205
"0.695",30.6400617389074
"0.7",31.1394757233682
"0.705",31.5892532344202
"0.71",32.0900216520749
"0.715",32.3872731380814
"0.72",32.8879636042815
"0.725",33.3768326839007
"0.73",33.9477360429096
"0.735",34.4439430602601
"0.74",35.0069038819731
"0.745",35.4409909218805
"0.75",35.8358865446223
"0.755",36.6019353311263
"0.76",37.1272711886447
"0.765",37.8190297930091
"0.77",38.5097454433215
"0.775",39.0853741022213
"0.78",39.6297352896532
"0.785",40.1188759477986
"0.79",40.6939721827825
"0.795",41.3548285723367
"0.8",41.9066665636803
"0.805",42.363885684831
"0.81",42.8197470648059
"0.815",43.5912340699418
"0.82",44.2309124659031
"0.825",44.7279883654045
"0.83",45.2134502535672
"0.835",45.8088757706021
"0.84",46.4466189762636
"0.845",46.9719499752986
"0.85",47.6248482871074
"0.855",47.9900619241261
"0.86",48.5219409184618
"0.865",49.0386391051888
"0.87",49.6325581402035
"0.875",50.2961904069367
"0.88",50.828417528241
"0.885",51.3337527332197
"0.89",51.8994551645145
"0.895",52.4728743886514
"0.9",53.1282910900309
"0.905",53.6102082595265
"0.91",54.3613580226136
"0.915",55.0282624582167
"0.92",55.91360599456
"0.925",56.6727973007896
"0.93",57.3425257855215
"0.935",57.9555829847743
"0.94",58.6517744191487
"0.945",59.4431113971425
"0.95",60.2374349257226
"0.955",61.0002617954111
"0.96",61.5854149911301
"0.965",62.3305800931715
"0.97",62.9452117090905
"0.975",63.6230762827952
"0.98",64.1687399279343
"0.985",64.9382368448402
"0.99",65.7694074903353
