"","x"
"0.005",3.84205302001473
"0.01",3.90096567528417
"0.015",4.00146248531669
"0.02",4.17686957860016
"0.025",4.25929705561264
"0.03",4.36855617570586
"0.035",4.48190646340864
"0.04",4.565463709922
"0.045",4.67360670979934
"0.05",4.81778332248867
"0.055",5.02439260196926
"0.06",5.22077343123864
"0.065",5.45139345939423
"0.07",5.57652264101505
"0.075",5.84915428596882
"0.08",5.97430299224071
"0.085",6.16133678432782
"0.09",6.42055731789096
"0.095",6.72409045780659
"0.1",6.93723725925023
"0.105",7.20121649758892
"0.11",7.48350326876626
"0.115",7.82093626010478
"0.12",8.31776405088504
"0.125",8.81593748181616
"0.13",8.91307926391562
"0.135",9.34236438865389
"0.14",9.53668042499505
"0.145",9.88125471436589
"0.15",10.2878017024812
"0.155",10.4824182685863
"0.16",10.9215310288731
"0.165",11.7320260133837
"0.17",11.9568205655641
"0.175",12.3678646419552
"0.18",12.9147934710911
"0.185",13.170866729911
"0.19",13.6757852297903
"0.195",14.132915700195
"0.2",15.0728527001775
"0.205",14.9079458593408
"0.21",15.7844276896884
"0.215",16.5463506840387
"0.22",16.9173102549601
"0.225",17.1323144324717
"0.23",17.7569373646265
"0.235",18.2578123648927
"0.24",18.8685255005331
"0.245",19.3340741571815
"0.25",19.9913757927993
"0.255",20.2992059546921
"0.26",20.9946238674534
"0.265",21.3281316731595
"0.27",22.3986474111628
"0.275",23.7176637114076
"0.28",23.7106542463725
"0.285",24.4203256430698
"0.29",25.5739698304675
"0.295",26.3204142086362
"0.3",26.5126928249468
"0.305",27.4754839578219
"0.31",27.6284173495637
"0.315",27.8401302688026
"0.32",27.261612973753
"0.325",27.3193627547581
"0.33",28.0143879761201
"0.335",29.8429031927496
"0.34",30.0258029396006
"0.345",31.2935402512914
"0.35",32.1078789324855
"0.355",34.5403924218848
"0.36",35.5825521291519
"0.365",36.0246077428724
"0.37",38.4656288106275
"0.375",37.6423905327959
"0.38",40.7111185630951
"0.385",39.9115425610545
"0.39",39.9474554104577
"0.395",41.2410408375121
"0.4",42.5988028744362
"0.405",43.7282245306799
"0.41",44.5955633162508
"0.415",44.491434664719
"0.42",46.5583139345877
"0.425",45.3766453212138
"0.43",46.4193295092053
"0.435",48.3658242954628
"0.44",49.6719154181345
"0.445",50.4175360699803
"0.45",51.6435099119963
"0.455",53.4526935111012
"0.46",53.2005309011276
"0.465",53.2399375473847
"0.47",52.4315509879085
"0.475",54.2510418686658
"0.48",55.6339786558541
"0.485",54.830683840443
"0.49",57.150008619792
"0.495",58.4279612244893
"0.5",58.158356797122
"0.505",61.4384822440105
"0.51",60.3087701348625
"0.515",60.4004046817773
"0.52",63.0154753972125
"0.525",62.2509979336876
"0.53",64.8774713496464
"0.535",67.6382965082638
"0.54",69.8820061069612
"0.545",69.617845965616
"0.55",70.1819135576929
"0.555",71.6714551214007
"0.56",74.0934055691217
"0.565",76.3447433433159
"0.57",75.4550166459391
"0.575",77.8339216501222
"0.58",80.1032226402388
"0.585",80.4465791010455
"0.59",81.4073450857249
"0.595",80.0575145852453
"0.6",82.1349666681135
"0.605",83.7566856664834
"0.61",86.2430608295917
"0.615",88.7985093483205
"0.62",88.1493106245079
"0.625",90.0416443658549
"0.63",96.3960800493136
"0.635",98.9957442090125
"0.64",99.6473236078078
"0.645",102.000535049305
"0.65",103.525475755221
"0.655",112.356055023642
"0.66",111.062048825162
"0.665",115.920944144193
"0.67",112.150726321122
"0.675",112.687935426689
"0.68",113.944123765259
"0.685",114.042801191125
"0.69",124.208807977453
"0.695",127.908271124019
"0.7",129.313294232176
"0.705",120.478318335974
"0.71",126.647755224035
"0.715",135.248798742804
"0.72",141.737258895014
"0.725",145.942610394646
"0.73",136.856930454596
"0.735",132.012060344812
"0.74",140.902906876049
"0.745",144.326080485718
"0.75",133.114300035738
"0.755",140.60618574403
"0.76",152.362910381252
"0.765",145.223976242987
"0.77",147.448031772714
"0.775",152.329738723632
"0.78",148.727997221516
"0.785",149.592152819984
"0.79",153.117377437835
"0.795",157.270463385748
"0.8",154.979483359557
"0.805",161.874754758822
"0.81",159.113348454261
"0.815",169.051534545685
"0.82",167.986941852393
"0.825",174.775201018412
"0.83",177.917250892925
"0.835",181.513944147742
"0.84",176.205363489045
"0.845",180.702467791893
"0.85",181.57867586881
"0.855",187.745763209955
"0.86",174.617635320312
"0.865",183.915105183596
"0.87",187.039403720105
"0.875",176.733770380159
"0.88",179.580358058868
"0.885",191.211904071384
"0.89",194.068594025349
"0.895",194.52646304567
"0.9",193.876425210795
"0.905",190.58866493337
"0.91",199.311221164177
"0.915",208.895939041687
"0.92",191.764583790131
"0.925",190.580263904933
"0.93",197.917365026274
"0.935",212.647585937307
"0.94",207.542201344754
"0.945",209.315918617118
"0.95",209.992907261282
"0.955",208.717867767121
"0.96",221.420612157399
"0.965",216.418611770817
"0.97",212.169315810047
"0.975",225.877517687763
"0.98",223.055571949851
"0.985",222.727345284787
"0.99",225.861284466508
