"","x"
"0.005",6.68131247933592
"0.01",7.21143812811053
"0.015",7.4516874966727
"0.02",7.68034328990319
"0.025",7.94260347716423
"0.03",8.32064428944582
"0.035",8.80309205472625
"0.04",8.82847871449487
"0.045",9.27484123105215
"0.05",9.46991683768375
"0.055",9.81788223700806
"0.06",10.4409044789312
"0.065",10.657879279154
"0.07",11.5021187805809
"0.075",11.7554219011094
"0.08",12.5727771146619
"0.085",13.4964792828109
"0.09",14.0318751575102
"0.095",14.6238067202732
"0.1",15.7070646243818
"0.105",16.3820548566497
"0.11",17.3249627567607
"0.115",18.0737143929011
"0.12",19.030812824845
"0.125",19.5552221465141
"0.13",21.0276934494714
"0.135",22.0557961639354
"0.14",22.4657493293913
"0.145",24.7008752012723
"0.15",25.9810607859959
"0.155",28.9700780174504
"0.16",30.8822787254636
"0.165",32.8738025261956
"0.17",34.7116671456108
"0.175",34.6992546924091
"0.18",37.7197660650919
"0.185",40.0408445512173
"0.19",42.2430175318803
"0.195",44.115786027756
"0.2",47.1399934423522
"0.205",47.0661557638692
"0.21",50.7203994642463
"0.215",48.191741974405
"0.22",50.6976659541503
"0.225",57.2355434849053
"0.23",53.2441942577172
"0.235",62.6262538777189
"0.24",56.5106002326362
"0.245",58.1115172058506
"0.25",63.9652826695401
"0.255",67.7472815502575
"0.26",74.0962234620114
"0.265",73.2511172315194
"0.27",75.7279069567917
"0.275",77.0840340949827
"0.28",81.6629564475409
"0.285",88.682531781663
"0.29",94.4096552594374
"0.295",101.311715935344
"0.3",89.1349073678575
"0.305",94.6057339152924
"0.31",102.258690347807
"0.315",112.716273673955
"0.32",109.58597723522
"0.325",114.735526956827
"0.33",117.057134001044
"0.335",121.208749406144
"0.34",134.936710640646
"0.345",135.32285686339
"0.35",138.277581166566
"0.355",151.763352293476
"0.36",156.927611249194
"0.365",153.410576293081
"0.37",159.207884865165
"0.375",176.947985227441
"0.38",150.641867566252
"0.385",162.832743049523
"0.39",166.918405596909
"0.395",169.906636427203
"0.4",187.09526130785
"0.405",188.27926136872
"0.41",181.426174204046
"0.415",219.997427324177
"0.42",206.078540864438
"0.425",190.487785580643
"0.43",218.447121592269
"0.435",206.280013145065
"0.44",234.478343492499
"0.445",231.158059940332
"0.45",224.28906195447
"0.455",220.242657718286
"0.46",225.94117506439
"0.465",226.508864809017
"0.47",224.752006330367
"0.475",238.729315289652
"0.48",241.53528216223
"0.485",229.152361338275
"0.49",237.984311246041
"0.495",251.080099095524
"0.5",250.299200544809
"0.505",252.28984157453
"0.51",311.384986446417
"0.515",283.803569204884
"0.52",287.726428100697
"0.525",279.548682793632
"0.53",275.781307038162
"0.535",292.340992901122
"0.54",299.016561699221
"0.545",303.997661481352
"0.55",311.803459044249
"0.555",332.307139009326
"0.56",327.632119894459
"0.565",315.783983347534
"0.57",289.918108350444
"0.575",317.283626144891
"0.58",321.957500906318
"0.585",324.409990380833
"0.59",320.800073028731
"0.595",363.228998843214
"0.6",339.489098861327
"0.605",372.843684575953
"0.61",380.99204027857
"0.615",376.898223426817
"0.62",379.592383893295
"0.625",390.058278771342
"0.63",432.237581077324
"0.635",392.480561463592
"0.64",413.407636644804
"0.645",452.71613648187
"0.65",425.345932167798
"0.655",493.634366952092
"0.66",403.475701859816
"0.665",426.608234986506
"0.67",423.62468345445
"0.675",480.941655750694
"0.68",465.675946130274
"0.685",495.212965730363
"0.69",576.283894162739
"0.695",573.424549193401
"0.7",582.803768886747
"0.705",517.399640820251
"0.71",521.656448999292
"0.715",539.075874659829
"0.72",599.708711117577
"0.725",624.191135107003
"0.73",605.427513664747
"0.735",591.813034927927
"0.74",653.742799286629
"0.745",643.082366230835
"0.75",686.294903169436
"0.755",630.462573197869
"0.76",636.450234787672
"0.765",641.113611307494
"0.77",649.246423099354
"0.775",733.724768789997
"0.78",758.82698022797
"0.785",675.229817699626
"0.79",737.351953345848
"0.795",715.231644583828
"0.8",735.338763196883
"0.805",806.451472437703
"0.81",794.589920148153
"0.815",747.049463131057
"0.82",710.632793846814
"0.825",749.255577982989
"0.83",775.246620597097
"0.835",788.303673120164
"0.84",718.49310508341
"0.845",708.55640353699
"0.85",804.650673735106
"0.855",748.118138792903
"0.86",683.659632838829
"0.865",719.283204006772
"0.87",815.932189019505
"0.875",825.529935427485
"0.88",796.971481796821
"0.885",857.011788845597
"0.89",960.469697786174
"0.895",857.166822575135
"0.9",797.749357514993
"0.905",854.731004350293
"0.91",847.663205440042
"0.915",882.940004943918
"0.92",1036.47659059996
"0.925",892.353031280273
"0.93",919.017033228264
"0.935",967.309166286779
"0.94",1008.92813976148
"0.945",1031.40583327225
"0.95",988.148214159155
"0.955",1051.95642183594
"0.96",1082.88056781799
"0.965",1028.32472606166
"0.97",1085.91259476869
"0.975",1067.9938538381
"0.98",1022.13654547914
"0.985",1097.55259228238
"0.99",1252.65625070073
