"","zero","adapt","over"
"b= 0.005",0,0,0
"b= 0.01",0,0,0
"b= 0.015",0,0,0
"b= 0.02",0,0,0
"b= 0.025",0,0,0
"b= 0.03",0,0,0
"b= 0.035",0,0,0
"b= 0.04",0,0,1e-04
"b= 0.045",0,0,3e-04
"b= 0.05",0,1e-04,5e-04
"b= 0.055",0,2e-04,8e-04
"b= 0.06",0,6e-04,0.0014
"b= 0.065",2e-04,0.001,0.0022
"b= 0.07",6e-04,0.0018,0.0036
"b= 0.075",0.001,0.0024,0.0047
"b= 0.08",0.0013,0.003,0.0058
"b= 0.085",0.0017,0.0037,0.0069
"b= 0.09",0.0021,0.0046,0.0089
"b= 0.095",0.0018,0.0064,0.0114
"b= 0.1",0.0029,0.0088,0.0145
"b= 0.105",0.0034,0.0105,0.018
"b= 0.11",0.0044,0.0128,0.0224
"b= 0.115",0.0054,0.0148,0.0261
"b= 0.12",0.0065,0.0174,0.0301
"b= 0.125",0.0075,0.02,0.0344
"b= 0.13",0.0087,0.0232,0.0378
"b= 0.135",0.0107,0.025,0.042
"b= 0.14",0.0126,0.0263,0.0455
"b= 0.145",0.0148,0.0289,0.0493
"b= 0.15",0.0159,0.0318,0.0533
"b= 0.155",0.0175,0.0355,0.0575
"b= 0.16",0.0193,0.0392,0.0613
"b= 0.165",0.0217,0.0433,0.0651
"b= 0.17",0.023,0.0464,0.0707
"b= 0.175",0.0253,0.0499,0.0751
"b= 0.18",0.0267,0.0527,0.0812
"b= 0.185",0.0282,0.0561,0.0861
"b= 0.19",0.0304,0.0607,0.0915
"b= 0.195",0.0327,0.0638,0.0989
"b= 0.2",0.0352,0.067,0.1045
"b= 0.205",0.0379,0.0694,0.109
"b= 0.21",0.0402,0.0735,0.1134
"b= 0.215",0.0431,0.0783,0.1186
"b= 0.22",0.0465,0.0833,0.1235
"b= 0.225",0.0489,0.0872,0.129
"b= 0.23",0.0503,0.0892,0.1341
"b= 0.235",0.0543,0.0918,0.1387
"b= 0.24",0.056,0.0945,0.1431
"b= 0.245",0.0595,0.0981,0.1489
"b= 0.25",0.0612,0.1026,0.1541
"b= 0.255",0.0652,0.1056,0.158
"b= 0.26",0.0682,0.1095,0.1637
"b= 0.265",0.0724,0.1129,0.1686
"b= 0.27",0.0748,0.115,0.1737
"b= 0.275",0.077,0.1198,0.1773
"b= 0.28",0.0789,0.1223,0.1813
"b= 0.285",0.0814,0.1259,0.1868
"b= 0.29",0.0832,0.1301,0.1927
"b= 0.295",0.0846,0.1331,0.1961
"b= 0.3",0.0879,0.1388,0.201
"b= 0.305",0.09,0.1423,0.2048
"b= 0.31",0.0931,0.1449,0.2089
"b= 0.315",0.0976,0.1488,0.2145
"b= 0.32",0.0999,0.1526,0.2193
"b= 0.325",0.1023,0.1569,0.2245
"b= 0.33",0.1051,0.1603,0.2289
"b= 0.335",0.1076,0.1634,0.2324
"b= 0.34",0.1106,0.1661,0.237
"b= 0.345",0.1131,0.1693,0.243
"b= 0.35",0.1152,0.1705,0.247
"b= 0.355",0.1174,0.1743,0.2518
"b= 0.36",0.1179,0.1778,0.2554
"b= 0.365",0.1204,0.1809,0.2593
"b= 0.37",0.123,0.1817,0.2621
"b= 0.375",0.1249,0.1848,0.2656
"b= 0.38",0.1277,0.1884,0.2713
"b= 0.385",0.1305,0.1912,0.2756
"b= 0.39",0.1326,0.194,0.28
"b= 0.395",0.1369,0.1978,0.2833
