"","zero","adapt","over"
"b= 0.005",0,0,0
"b= 0.01",0,0,0
"b= 0.015",0,0,0
"b= 0.02",0,0,0
"b= 0.025",0,0,0
"b= 0.03",0,0,0
"b= 0.035",0,0,0
"b= 0.04",0,0,0
"b= 0.045",0,0,0
"b= 0.05",0,0,0
"b= 0.055",0,0,0
"b= 0.06",0,0,0
"b= 0.065",0,0,0
"b= 0.07",0,0,0
"b= 0.075",0,0,0
"b= 0.08",0,0,0
"b= 0.085",0,0,0
"b= 0.09",0,0,0
"b= 0.095",0,0,0
"b= 0.1",0,0,0
"b= 0.105",0,0,0
"b= 0.11",0,0,0
"b= 0.115",0,0,0
"b= 0.12",0,0,0
"b= 0.125",0,0,0
"b= 0.13",0,1e-04,0
"b= 0.135",0,1e-04,0
"b= 0.14",1e-04,1e-04,1e-04
"b= 0.145",1e-04,2e-04,2e-04
"b= 0.15",1e-04,2e-04,2e-04
"b= 0.155",1e-04,2e-04,2e-04
"b= 0.16",1e-04,2e-04,2e-04
"b= 0.165",2e-04,2e-04,2e-04
"b= 0.17",2e-04,2e-04,2e-04
"b= 0.175",2e-04,2e-04,3e-04
"b= 0.18",2e-04,2e-04,3e-04
"b= 0.185",2e-04,2e-04,3e-04
"b= 0.19",2e-04,2e-04,3e-04
"b= 0.195",2e-04,2e-04,4e-04
"b= 0.2",2e-04,2e-04,4e-04
"b= 0.205",0,3e-04,4e-04
"b= 0.21",0,4e-04,4e-04
"b= 0.215",0,5e-04,7e-04
"b= 0.22",0,6e-04,7e-04
"b= 0.225",2e-04,8e-04,0.001
"b= 0.23",3e-04,7e-04,0.0011
"b= 0.235",3e-04,8e-04,0.0013
"b= 0.24",3e-04,0.001,0.0014
"b= 0.245",4e-04,0.0011,0.0015
"b= 0.25",4e-04,0.0015,0.002
"b= 0.255",8e-04,0.0019,0.0021
"b= 0.26",8e-04,0.0024,0.0023
"b= 0.265",0.0012,0.0025,0.0031
"b= 0.27",0.0014,0.003,0.0034
"b= 0.275",0.0018,0.0032,0.0037
"b= 0.28",0.0019,0.0035,0.0041
"b= 0.285",0.0021,0.0035,0.0047
"b= 0.29",0.0022,0.004,0.005
"b= 0.295",0.0025,0.0042,0.0056
"b= 0.3",0.0027,0.0048,0.006
"b= 0.305",0.0029,0.0052,0.0064
"b= 0.31",0.0031,0.0055,0.0067
"b= 0.315",0.0036,0.0055,0.0071
"b= 0.32",0.0038,0.0057,0.0079
"b= 0.325",0.0041,0.0061,0.0088
"b= 0.33",0.0044,0.0061,0.009
"b= 0.335",0.0049,0.0067,0.0094
"b= 0.34",0.005,0.007,0.0097
"b= 0.345",0.0053,0.0076,0.0098
"b= 0.35",0.0057,0.0085,0.0101
"b= 0.355",0.0058,0.0092,0.0105
"b= 0.36",0.0062,0.0095,0.0109
"b= 0.365",0.0065,0.0099,0.0117
"b= 0.37",0.0071,0.0101,0.0127
"b= 0.375",0.0075,0.0108,0.0132
"b= 0.38",0.0077,0.0117,0.0137
"b= 0.385",0.0078,0.0127,0.0142
"b= 0.39",0.008,0.013,0.0146
"b= 0.395",0.0084,0.0135,0.0156
"b= 0.4",0.0088,0.0138,0.0168
"b= 0.405",0.0093,0.0145,0.0171
"b= 0.41",0.0096,0.0149,0.0173
"b= 0.415",0.0099,0.0158,0.0181
"b= 0.42",0.0102,0.0164,0.0193
"b= 0.425",0.011,0.0177,0.0205
"b= 0.43",0.011,0.0194,0.0213
