"","zero","adapt","over"
"b= 0.005",0,0,0
"b= 0.01",0,0,0
"b= 0.015",0,0,0
"b= 0.02",0,0,0
"b= 0.025",0,0,0
"b= 0.03",0,0,0
"b= 0.035",0,0,0
"b= 0.04",0,0,0
"b= 0.045",0,0,0
"b= 0.05",0,0,0
"b= 0.055",0,0,0
"b= 0.06",0,2e-04,0
"b= 0.065",2e-04,4e-04,0
"b= 0.07",2e-04,6e-04,4e-04
"b= 0.075",4e-04,6e-04,4e-04
"b= 0.08",4e-04,6e-04,4e-04
"b= 0.085",4e-04,0.001,6e-04
"b= 0.09",6e-04,0.0012,8e-04
"b= 0.095",6e-04,0.0016,0.001
"b= 0.1",0.0012,0.0016,0.0016
"b= 0.105",0.0012,0.0026,0.0018
"b= 0.11",0.0012,0.0026,0.0022
"b= 0.115",0.0014,0.0034,0.002
"b= 0.12",0.0018,0.0046,0.0034
"b= 0.125",0.0034,0.0056,0.0036
"b= 0.13",0.0044,0.0068,0.0052
"b= 0.135",0.0048,0.0088,0.0064
"b= 0.14",0.0062,0.01,0.0076
"b= 0.145",0.0072,0.0116,0.0096
"b= 0.15",0.0088,0.012,0.0104
"b= 0.155",0.0098,0.013,0.0124
"b= 0.16",0.0114,0.0148,0.0132
"b= 0.165",0.012,0.0166,0.0138
"b= 0.17",0.0124,0.0176,0.0162
"b= 0.175",0.0128,0.0188,0.0184
"b= 0.18",0.013,0.0204,0.0194
"b= 0.185",0.0136,0.0216,0.0206
"b= 0.19",0.0166,0.0222,0.0216
"b= 0.195",0.0178,0.024,0.0234
"b= 0.2",0.0188,0.0258,0.0242
"b= 0.205",0.021,0.0276,0.0274
"b= 0.21",0.0222,0.0306,0.029
"b= 0.215",0.025,0.0334,0.0314
"b= 0.22",0.0272,0.0366,0.0342
"b= 0.225",0.0286,0.0394,0.038
"b= 0.23",0.0306,0.0402,0.041
"b= 0.235",0.0308,0.0444,0.0438
"b= 0.24",0.0332,0.0464,0.0466
"b= 0.245",0.0366,0.0484,0.0494
"b= 0.25",0.039,0.0498,0.0514
"b= 0.255",0.0416,0.0512,0.0532
"b= 0.26",0.0424,0.0534,0.0538
"b= 0.265",0.0422,0.055,0.0562
"b= 0.27",0.044,0.057,0.0578
"b= 0.275",0.046,0.0586,0.0594
"b= 0.28",0.0476,0.0608,0.063
"b= 0.285",0.049,0.0616,0.0648
"b= 0.29",0.05,0.0652,0.0662
"b= 0.295",0.052,0.0672,0.0676
"b= 0.3",0.0556,0.0694,0.0716
"b= 0.305",0.0576,0.0724,0.0736
"b= 0.31",0.0594,0.0758,0.076
"b= 0.315",0.0606,0.0778,0.0792
"b= 0.32",0.064,0.0802,0.0826
"b= 0.325",0.0684,0.0842,0.087
"b= 0.33",0.0712,0.0864,0.0904
"b= 0.335",0.0726,0.088,0.0934
"b= 0.34",0.0736,0.0914,0.0968
"b= 0.345",0.077,0.096,0.0986
"b= 0.35",0.0796,0.0982,0.1026
"b= 0.355",0.0812,0.1038,0.1046
"b= 0.36",0.0842,0.107,0.1072
"b= 0.365",0.0876,0.1084,0.1104
"b= 0.37",0.0914,0.1118,0.1114
"b= 0.375",0.0936,0.1128,0.1166
"b= 0.38",0.0972,0.1152,0.119
"b= 0.385",0.098,0.117,0.1234
"b= 0.39",0.1,0.1208,0.1262
"b= 0.395",0.101,0.123,0.1298
"b= 0.4",0.1044,0.1264,0.1318
"b= 0.405",0.1056,0.1272,0.1346
