"file","intercept","beta1","beta2","beta3","adj.r.sq","d","kernel","is_lugsail","alpha"
"1","6.63489660102121","26.1746726865233","35.2279970761725","-18.0878487788439","0.999943826680006","1","Bartlett","FALSE","0.01"
"2","5.02388618731488","16.8818078702664","20.0373833631911","-9.37446249394059","0.999955828525523","1","Bartlett","FALSE","0.025"
"3","3.84145882069412","10.2486747687367","15.2835030007503","-7.04152653432994","0.99996333666375","1","Bartlett","FALSE","0.05"
"4","2.70554345409542","5.95537452295216","8.76892730402756","-3.43498838047281","0.999991203738503","1","Bartlett","FALSE","0.1"
"5","6.63489660102121","1199.05722234008","-2413.16615989645","1413.30277428457","0.939116000294775","1","Bartlett","TRUE","0.01"
"6","5.02388618731488","439.612531757476","-882.539423633514","516.52429703639","0.94011756206204","1","Bartlett","TRUE","0.025"
"7","3.84145882069412","194.606687168243","-392.410827973884","230.703761439739","0.938830743031161","1","Bartlett","TRUE","0.05"
"8","2.70554345409542","75.8463009507198","-152.530297677076","89.5068479232609","0.939368282670638","1","Bartlett","TRUE","0.1"
"9","6.63489660102121","19.2424287041255","25.2914156618145","48.5614955125718","0.999967112825486","1","Parzen","FALSE","0.01"
"10","5.02388618731488","12.5352396632395","14.8458191032283","20.3395376394002","0.999973137104651","1","Parzen","FALSE","0.025"
"11","3.84145882069412","7.63120154030678","10.7464023280058","8.72014728767661","0.999996064048189","1","Parzen","FALSE","0.05"
"12","2.70554345409542","4.69250847090699","5.25906410781135","3.88815438482184","0.999993110826716","1","Parzen","FALSE","0.1"
"13","6.63489660102121","-26.7677211298127","307.633270873636","-11.3053155148949","0.999309251041176","1","Parzen","TRUE","0.01"
"14","5.02388618731488","-2.52232188723392","124.918643965381","-21.8076685856969","0.999785958013262","1","Parzen","TRUE","0.025"
"15","3.84145882069412","2.58865478459518","59.2134781366015","-16.7287122421845","0.999890501086772","1","Parzen","TRUE","0.05"
"16","2.70554345409542","3.63133862338052","22.4722195956193","-6.41859874089989","0.999940007639237","1","Parzen","TRUE","0.1"
"17","6.63489660102121","47.2386856824839","-6.3559548738083","666.15236143419","0.99996726807599","1","QS","FALSE","0.01"
"18","5.02388618731488","19.3019716976654","58.0567586732097","210.387791242163","0.999982340793407","1","QS","FALSE","0.025"
"19","3.84145882069412","15.05488361334","29.843539327128","95.1939406721966","0.999996164113718","1","QS","FALSE","0.05"
"20","2.70554345409542","7.49757176384714","21.0853014669647","33.923856100514","0.999989701739671","1","QS","FALSE","0.1"
"21","6.63489660102121","45.8955378146197","701.636379574901","-41.8392011530965","0.998277624552236","1","QS","TRUE","0.01"
"22","5.02388618731488","22.3129020945693","268.777891496808","-25.0745568587611","0.998752321413113","1","QS","TRUE","0.025"
"23","3.84145882069412","13.8015841330881","123.613766060453","-21.2499940382271","0.998971936828833","1","QS","TRUE","0.05"
"24","2.70554345409542","8.58620896332166","49.4374138204331","-12.2330428516498","0.999034898949729","1","QS","TRUE","0.1"
