"","x"
"0.005",3.84101873622969
"0.01",3.89405741195445
"0.015",3.93111300304627
"0.02",3.97742335146932
"0.025",4.01004583134075
"0.03",4.05422489724169
"0.035",4.09815587415275
"0.04",4.13589475843035
"0.045",4.18468996169233
"0.05",4.22448571610257
"0.055",4.27298619239163
"0.06",4.32715078694256
"0.065",4.36958208628883
"0.07",4.41201388427431
"0.075",4.46308759031841
"0.08",4.514666371452
"0.085",4.576095251254
"0.09",4.61850370731412
"0.095",4.66785664879704
"0.1",4.71073118515144
"0.105",4.75525675558826
"0.11",4.80795618547551
"0.115",4.85982452776447
"0.12",4.9084204518535
"0.125",4.95896409743153
"0.13",5.01331855805679
"0.135",5.07068820798659
"0.14",5.12408228510546
"0.145",5.17814403321229
"0.15",5.23243281378624
"0.155",5.29322291129056
"0.16",5.3544515673417
"0.165",5.41833467560287
"0.17",5.47948908988446
"0.175",5.547289338102
"0.18",5.60116780476301
"0.185",5.66714470997445
"0.19",5.72915752057951
"0.195",5.79503626475422
"0.2",5.86652187024747
"0.205",5.93263020823425
"0.21",5.99099991044743
"0.215",6.05321230141856
"0.22",6.11880737123596
"0.225",6.18172583226848
"0.23",6.2540332972289
"0.235",6.32759565033598
"0.24",6.40630428336498
"0.245",6.47372982493401
"0.25",6.54973591322522
"0.255",6.63099955712713
"0.26",6.69860495056506
"0.265",6.77322119102359
"0.27",6.84115450330523
"0.275",6.9214105866009
"0.28",7.00116261971324
"0.285",7.08190163970491
"0.29",7.170014656521
"0.295",7.26049626554207
"0.3",7.34024345324916
"0.305",7.42663256274908
"0.31",7.51169809103063
"0.315",7.593424887796
"0.32",7.69254407111612
"0.325",7.78217767089643
"0.33",7.86995456396522
"0.335",7.95753744592872
"0.34",8.03542916748928
"0.345",8.12897537937067
"0.35",8.22389217427884
"0.355",8.31532123568664
"0.36",8.40714522011558
"0.365",8.50068684603052
"0.37",8.6146615883999
"0.375",8.70454366179702
"0.38",8.78868040122067
"0.385",8.91543534741878
"0.39",9.00051079361765
"0.395",9.10910287310453
"0.4",9.20871203639849
"0.405",9.30586835187013
"0.41",9.41336518488065
"0.415",9.51091361906455
"0.42",9.61945981520218
"0.425",9.73034812160096
"0.43",9.83630287493968
"0.435",9.96319505430824
"0.44",10.0676783385015
"0.445",10.1505987036831
"0.45",10.2640352297313
"0.455",10.371356360893
"0.46",10.4694042933959
"0.465",10.5831683906444
"0.47",10.6823596418019
"0.475",10.7908546129447
"0.48",10.915886769459
"0.485",11.0490696373956
"0.49",11.1579870326382
"0.495",11.3002774485127
"0.5",11.4314488193822
"0.505",11.5655724644783
"0.51",11.6809872420757
"0.515",11.8166387499965
"0.52",11.9551186899299
"0.525",12.0668275623758
"0.53",12.1980777549062
"0.535",12.3184071773277
"0.54",12.4389988459253
"0.545",12.5991332494974
"0.55",12.7389026850284
"0.555",12.8631536073008
"0.56",13.0266915743807
"0.565",13.1585523447052
"0.57",13.3050481581411
"0.575",13.4351961019212
"0.58",13.5886649619367
"0.585",13.7266612738799
"0.59",13.8739480951063
"0.595",14.0272959706873
"0.6",14.166860429728
"0.605",14.3166452793205
"0.61",14.4566177658987
"0.615",14.6392752827078
"0.62",14.8053559182511
"0.625",14.9534866874943
"0.63",15.0839043418312
"0.635",15.2472005577544
"0.64",15.3903558301052
"0.645",15.5532809599015
"0.65",15.721166956972
"0.655",15.8700365864221
"0.66",16.0307586152034
"0.665",16.1884261626176
"0.67",16.3466519639397
"0.675",16.534822678509
"0.68",16.7118916727733
"0.685",16.8732295887835
"0.69",17.0522909465309
"0.695",17.2362241756713
"0.7",17.4342159321645
"0.705",17.6226656628669
"0.71",17.8107334225017
"0.715",17.9800207270458
"0.72",18.1727546912338
"0.725",18.351972183706
"0.73",18.550330289125
"0.735",18.7326826000693
"0.74",18.9255569923208
"0.745",19.1158208547747
"0.75",19.3101781845747
"0.755",19.4912855929552
"0.76",19.6663555158393
"0.765",19.8384367911761
"0.77",20.0072731804071
"0.775",20.2058040932359
"0.78",20.4434249544551
"0.785",20.6411020120017
"0.79",20.8558288797796
"0.795",21.0878737948621
"0.8",21.2979287288629
"0.805",21.4999379957775
"0.81",21.7017048969308
"0.815",21.9369819352889
"0.82",22.1370995833595
"0.825",22.3270456234846
"0.83",22.5625051867255
"0.835",22.8141193987774
"0.84",23.0610058653183
"0.845",23.2518295096864
"0.85",23.4910342885883
"0.855",23.70980362069
"0.86",23.9109960942513
"0.865",24.1467677636527
"0.87",24.3764796416503
"0.875",24.6093781418028
"0.88",24.8283365297702
"0.885",25.0569826860146
"0.89",25.2909908795756
"0.895",25.5161069870407
"0.9",25.7256195845525
"0.905",25.9686557705013
"0.91",26.2330844113181
"0.915",26.5124054406732
"0.92",26.7857343532847
"0.925",27.0877475879261
"0.93",27.3023995626556
"0.935",27.5160760333315
"0.94",27.7614970335386
"0.945",27.995782337644
"0.95",28.2991513065025
"0.955",28.5446961650515
"0.96",28.783109719441
"0.965",29.0558152877199
"0.97",29.2900917825172
"0.975",29.5718260250179
"0.98",29.8396784173287
"0.985",30.0718509156676
"0.99",30.3336665700028
