"","x"
"0.005",2.72287223420149
"0.01",2.74785775409855
"0.015",2.78108386476954
"0.02",2.80471983693369
"0.025",2.83090293612688
"0.03",2.86335976041535
"0.035",2.89533763057539
"0.04",2.93428861774263
"0.045",2.96525062193386
"0.05",2.99741458453638
"0.055",3.02971215200626
"0.06",3.0674749955946
"0.065",3.10548649293792
"0.07",3.14270815137013
"0.075",3.17980092331682
"0.08",3.21969396612119
"0.085",3.25865421258209
"0.09",3.28841374313902
"0.095",3.33068827119209
"0.1",3.37169177657022
"0.105",3.41471184535384
"0.11",3.46313723370516
"0.115",3.5066405935232
"0.12",3.55316258502696
"0.125",3.60017034780057
"0.13",3.64366994641696
"0.135",3.69165676893607
"0.14",3.73718584413161
"0.145",3.77893814694221
"0.15",3.82261647832249
"0.155",3.86789315593469
"0.16",3.91816395849796
"0.165",3.96931471338722
"0.17",4.01912393976443
"0.175",4.06812121739556
"0.18",4.11631393252708
"0.185",4.16723364546961
"0.19",4.21915168447646
"0.195",4.27550001697106
"0.2",4.33243119297665
"0.205",4.39342220022514
"0.21",4.4509913272603
"0.215",4.50823723595417
"0.22",4.55571043697568
"0.225",4.62121078772227
"0.23",4.6750625017672
"0.235",4.73637596716034
"0.24",4.79871272963089
"0.245",4.86737409429982
"0.25",4.93442705820494
"0.255",5.00259270977389
"0.26",5.07929358373341
"0.265",5.1400841395669
"0.27",5.21580843232656
"0.275",5.28366625981926
"0.28",5.34724164650702
"0.285",5.4102437596828
"0.29",5.48695780189736
"0.295",5.55866195657942
"0.3",5.63962144147247
"0.305",5.70670007574715
"0.31",5.78404016103973
"0.315",5.86417468673342
"0.32",5.93465911640734
"0.325",6.00643211952781
"0.33",6.08897955063543
"0.335",6.17734401297217
"0.34",6.25869875896285
"0.345",6.33280416193821
"0.35",6.41960511774437
"0.355",6.50496812244806
"0.36",6.59838798979171
"0.365",6.66603896175376
"0.37",6.75077000477657
"0.375",6.84620459023076
"0.38",6.93479097427043
"0.385",7.01451553682851
"0.39",7.10454639327238
"0.395",7.18869314278551
"0.4",7.28205039832152
"0.405",7.36771326651477
"0.41",7.4733997750867
"0.415",7.57203777336708
"0.42",7.67527540048269
"0.425",7.7766931763962
"0.43",7.86494797692268
"0.435",7.96209658067198
"0.44",8.05250923706154
"0.445",8.17402302726957
"0.45",8.28346868503976
"0.455",8.37595274754017
"0.46",8.45173785513133
"0.465",8.56749961957569
"0.47",8.66470406863725
"0.475",8.75873984154486
"0.48",8.86282392079469
"0.485",8.9751333157017
"0.49",9.0740829876128
"0.495",9.18114034025024
"0.5",9.31075597376972
"0.505",9.41821830174138
"0.51",9.52018995695479
"0.515",9.63812727336221
"0.52",9.74277251808305
"0.525",9.84819236532273
"0.53",9.95440058054102
"0.535",10.0456498058748
"0.54",10.1775214089554
"0.545",10.2863810440147
"0.55",10.4157946546443
"0.555",10.4969674965818
"0.56",10.6089519860184
"0.565",10.7177111207981
"0.57",10.8387233240619
"0.575",10.945404038633
"0.58",11.044921713351
"0.585",11.186372119136
"0.59",11.3107867231051
"0.595",11.4430638609913
"0.6",11.5602719174098
"0.605",11.6473193429028
"0.61",11.7725185503905
"0.615",11.8902920974508
"0.62",12.0404336396416
"0.625",12.1671138896365
"0.63",12.2747557945819
"0.635",12.4006534459308
"0.64",12.5625931511222
"0.645",12.7008911476297
"0.65",12.8285341083797
"0.655",12.9235267181498
"0.66",13.062927549382
"0.665",13.1706992503004
"0.67",13.2973802508205
"0.675",13.4615390040343
"0.68",13.5964398737067
"0.685",13.6961347108197
"0.69",13.8281042434194
"0.695",13.9332744096992
"0.7",14.0670425331968
"0.705",14.1777175798753
"0.71",14.3016900445577
"0.715",14.4163607551423
"0.72",14.5607417857835
"0.725",14.6546110086508
"0.73",14.7765970817594
"0.735",14.9154195249965
"0.74",15.0921969057395
"0.745",15.187689238
"0.75",15.3003894578981
"0.755",15.4708942766761
"0.76",15.6172673793188
"0.765",15.7929946700677
"0.77",15.904908743422
"0.775",16.0561086108584
"0.78",16.1805591638846
"0.785",16.2985999440306
"0.79",16.4839481498894
"0.795",16.6480903233693
"0.8",16.8006502093928
"0.805",16.9148232377128
"0.81",17.0528239370102
"0.815",17.2013643445985
"0.82",17.3730110208845
"0.825",17.5198041146236
"0.83",17.6452709958477
"0.835",17.8197234940009
"0.84",17.9275224690507
"0.845",18.0792013973393
"0.85",18.1798290652842
"0.855",18.3414590777585
"0.86",18.4831854015064
"0.865",18.6524563252852
"0.87",18.7641777177107
"0.875",18.919499516923
"0.88",19.0539680252921
"0.885",19.1857813280796
"0.89",19.3402566540048
"0.895",19.4793219318169
"0.9",19.5996785923537
"0.905",19.7352083788646
"0.91",19.9136735598312
"0.915",20.0074887663772
"0.92",20.1226386683776
"0.925",20.245003275935
"0.93",20.4196056710461
"0.935",20.4799147053229
"0.94",20.5664566366978
"0.945",20.7676932770528
"0.95",20.9334076144757
"0.955",21.0432414875137
"0.96",21.1037575811961
"0.965",21.2207593249997
"0.97",21.3516573581444
"0.975",21.3624352037236
"0.98",21.5596891948668
"0.985",21.7066463608601
"0.99",21.7808110924768
