"","x"
"0.005",2.7388676664857
"0.01",2.77712764915191
"0.015",2.80977129246645
"0.02",2.85762148987147
"0.025",2.90578676592708
"0.03",2.95309849003375
"0.035",2.99711360328133
"0.04",3.04583533765845
"0.045",3.10295649633749
"0.05",3.15110453756482
"0.055",3.20551296241264
"0.06",3.265274966094
"0.065",3.32058618710389
"0.07",3.38318781194544
"0.075",3.43947778221644
"0.08",3.50704284175298
"0.085",3.56246009987339
"0.09",3.62802592536889
"0.095",3.69260550851669
"0.1",3.75778916440886
"0.105",3.82320717645225
"0.11",3.88950755221973
"0.115",3.9588590591523
"0.12",4.03076908620566
"0.125",4.09731384740223
"0.13",4.17422437009155
"0.135",4.24478430146342
"0.14",4.3217921839046
"0.145",4.39351178603998
"0.15",4.47000071892879
"0.155",4.5534524668077
"0.16",4.63409667786214
"0.165",4.72662353480848
"0.17",4.8069025082332
"0.175",4.89146904898098
"0.18",4.98184801052727
"0.185",5.07284405964953
"0.19",5.17186488744328
"0.195",5.27576627053329
"0.2",5.36076631506983
"0.205",5.46314878302341
"0.21",5.55636799294954
"0.215",5.65724135856555
"0.22",5.77933372632623
"0.225",5.89232008515519
"0.23",6.01183713047264
"0.235",6.12866954862101
"0.24",6.24975363688548
"0.245",6.37081032375362
"0.25",6.48378599026731
"0.255",6.59745041332987
"0.26",6.73784292953428
"0.265",6.86313350568232
"0.27",6.99074941317499
"0.275",7.11912744540839
"0.28",7.25090475863779
"0.285",7.37578347271394
"0.29",7.5177269107787
"0.295",7.66119129483014
"0.3",7.79607732927799
"0.305",7.93633669624823
"0.31",8.08555516800261
"0.315",8.2362524179558
"0.32",8.39359021006107
"0.325",8.57111791814483
"0.33",8.73846475382713
"0.335",8.89118734879542
"0.34",9.0537531763266
"0.345",9.20561885676873
"0.35",9.3709135996002
"0.355",9.53424169691173
"0.36",9.70482435651302
"0.365",9.88542796927899
"0.37",10.0435056073344
"0.375",10.2100614449937
"0.38",10.3971245068478
"0.385",10.5870394904666
"0.39",10.7980897640215
"0.395",11.0093058644467
"0.4",11.213965446996
"0.405",11.4155725776722
"0.41",11.6249892732712
"0.415",11.8267683882846
"0.42",12.0292653729149
"0.425",12.2610069222946
"0.43",12.4923235726467
"0.435",12.7093135115012
"0.44",12.928028344027
"0.445",13.1698747943384
"0.45",13.3711859764404
"0.455",13.6154495773208
"0.46",13.8468584705225
"0.465",14.0935749540505
"0.47",14.3517110044758
"0.475",14.5907236438655
"0.48",14.8131030367862
"0.485",15.093337537477
"0.49",15.390648575033
"0.495",15.6695975264806
"0.5",15.9306818413441
"0.505",16.195755506277
"0.51",16.4866856129935
"0.515",16.7898581403668
"0.52",17.0634848160446
"0.525",17.3333429298904
"0.53",17.6460881678398
"0.535",17.9307039126716
"0.54",18.2106696478143
"0.545",18.5094001393304
"0.55",18.8197938338492
"0.555",19.0793975139598
"0.56",19.3982835965733
"0.565",19.7386985027775
"0.57",20.0613251019304
"0.575",20.4092928227923
"0.58",20.7225198664154
"0.585",21.0235556603615
"0.59",21.3583776460642
"0.595",21.6959691750797
"0.6",22.0462347764185
"0.605",22.3985573948729
"0.61",22.7945583938039
"0.615",23.1278357159525
"0.62",23.498762434053
"0.625",23.8521024286805
"0.63",24.1847438838061
"0.635",24.5191536791168
"0.64",24.9219239673895
"0.645",25.3003145143589
"0.65",25.6916870902003
"0.655",26.0842570684631
"0.66",26.4956915087385
"0.665",26.9249645231062
"0.67",27.3588379167709
"0.675",27.7680794814693
"0.68",28.1665839082965
"0.685",28.6094846783233
"0.69",29.0351683030069
"0.695",29.4690046502889
"0.7",29.8933998830819
"0.705",30.3289512968951
"0.71",30.7774282768526
"0.715",31.2317643406866
"0.72",31.6535638752018
"0.725",32.0905618474082
"0.73",32.5727054607937
"0.735",33.0896707877432
"0.74",33.5332561189313
"0.745",34.0250441401008
"0.75",34.54082197226
"0.755",35.0616452427665
"0.76",35.5384585975126
"0.765",36.0233456011792
"0.77",36.565166260995
"0.775",37.1295721973928
"0.78",37.6285141760599
"0.785",38.1476068561508
"0.79",38.6412249490683
"0.795",39.1331975128352
"0.8",39.7204022459149
"0.805",40.3304174076988
"0.81",40.88170414956
"0.815",41.4039050794791
"0.82",41.9117700553098
"0.825",42.4411471007797
"0.83",43.0205104976288
"0.835",43.5825847371165
"0.84",44.1908225713947
"0.845",44.7410934864847
"0.85",45.3116055015754
"0.855",45.8802043485603
"0.86",46.4425484565723
"0.865",47.1019699763951
"0.87",47.7223168392961
"0.875",48.3315932814799
"0.88",48.9238867218837
"0.885",49.4756780710388
"0.89",50.0495147852573
"0.895",50.6048216184823
"0.9",51.1884170635268
"0.905",51.8434991929007
"0.91",52.5372387708605
"0.915",53.1831783604845
"0.92",53.8427136784116
"0.925",54.4825737782304
"0.93",55.1475424951738
"0.935",55.8315478580556
"0.94",56.4506714829137
"0.945",57.1313701860015
"0.95",57.7892678417479
"0.955",58.5172430372093
"0.96",59.2378281920807
"0.965",59.9132567271064
"0.97",60.5881168037997
"0.975",61.316021871622
"0.98",62.1383080472016
"0.985",62.8447552011165
"0.99",63.5085027463416
