"","x"
"0.005",5.10021790131474
"0.01",5.24399491369844
"0.015",5.41986612495701
"0.02",5.57318887920608
"0.025",5.74261674132224
"0.03",5.89448927295007
"0.035",6.05203606097038
"0.04",6.22759559006897
"0.045",6.4530628926675
"0.05",6.68696230529846
"0.055",6.9273076738521
"0.06",7.16153880705672
"0.065",7.418271443599
"0.07",7.70953880337888
"0.075",7.98684042055984
"0.08",8.28128100710261
"0.085",8.60708703790861
"0.09",8.95257453528216
"0.095",9.27025681626959
"0.1",9.6712968469404
"0.105",10.0367531469923
"0.11",10.51828397475
"0.115",10.9758500674757
"0.12",11.4001915300373
"0.125",11.9376159695216
"0.13",12.4708688203603
"0.135",12.8389358983399
"0.14",13.4390042492355
"0.145",14.0261525889813
"0.15",14.6012116416039
"0.155",15.2374949300026
"0.16",15.7710113908708
"0.165",16.2555422483482
"0.17",16.8721389899599
"0.175",17.4253413604765
"0.18",18.2544701014041
"0.185",18.9159528565903
"0.19",19.7126506246334
"0.195",20.4569535744647
"0.2",21.3312754903881
"0.205",21.7457592850916
"0.21",22.8055303114907
"0.215",23.672172907176
"0.22",24.4612374531491
"0.225",25.3488432593374
"0.23",25.8699629527243
"0.235",26.8357405057507
"0.24",27.8375014211244
"0.245",28.1357461744062
"0.25",29.0510319359194
"0.255",29.9454178082917
"0.26",30.567431116382
"0.265",31.5965394033753
"0.27",32.4007508931673
"0.275",33.1452716768248
"0.28",33.9327776287361
"0.285",34.7657120758789
"0.29",35.9864061709748
"0.295",36.8176813247612
"0.3",37.6532993075265
"0.305",38.4265869946364
"0.31",39.1945715755497
"0.315",40.4040424850573
"0.32",41.7729760359837
"0.325",42.7806109692165
"0.33",43.7432265279843
"0.335",44.9413258717273
"0.34",45.6102418971413
"0.345",46.6515332649803
"0.35",47.9480923625004
"0.355",48.2862784444306
"0.36",49.3976573508742
"0.365",50.1000181736286
"0.37",50.8895881309023
"0.375",52.331391445289
"0.38",52.6562926130209
"0.385",53.3729705274197
"0.39",54.0356302808557
"0.395",55.3430478679519
"0.4",56.6723516059075
"0.405",58.309858752513
"0.41",59.8103233102512
"0.415",60.5454773933427
"0.42",61.9310073452692
"0.425",63.2544802056327
"0.43",63.7121603260713
"0.435",65.409034218565
"0.44",65.7586131956336
"0.445",65.74048538216
"0.45",67.1143362830538
"0.455",68.0174360988715
"0.46",67.2103394238836
"0.465",71.1139802423323
"0.47",69.8070658038847
"0.475",71.783093490714
"0.48",72.5761611309259
"0.485",74.0623666120165
"0.49",73.8208911966336
"0.495",75.5714203325977
"0.5",74.8626363311442
"0.505",76.9337532272426
"0.51",78.6491971123339
"0.515",79.9808139360469
"0.52",81.8008011701891
"0.525",83.393356684811
"0.53",85.6903676352961
"0.535",83.5924660636739
"0.54",84.6592869715707
"0.545",86.1943885534545
"0.55",88.3514011179302
"0.555",90.3945011422204
"0.56",90.3861982069111
"0.565",92.8932299777663
"0.57",91.9921690031562
"0.575",93.7550037394866
"0.58",96.5213398722123
"0.585",97.4386406988815
"0.59",98.3027383322097
"0.595",100.668332001024
"0.6",103.663962517985
"0.605",105.916800344258
"0.61",106.333636833641
"0.615",108.172539989838
"0.62",112.445342363041
"0.625",112.683817462889
"0.63",114.496607239401
"0.635",117.387256754953
"0.64",119.191250222658
"0.645",120.169146188882
"0.65",120.998853746519
"0.655",124.634012376167
"0.66",127.380440188288
"0.665",128.009637055883
"0.67",129.895503131145
"0.675",129.843260129316
"0.68",135.307017252547
"0.685",138.218043801475
"0.69",141.863126037148
"0.695",145.059645013937
"0.7",144.543824365042
"0.705",148.535153642382
"0.71",154.341817611034
"0.715",152.216522986725
"0.72",155.035701939613
"0.725",157.501059219254
"0.73",157.002532570889
"0.735",160.105833356075
"0.74",164.496967273566
"0.745",161.729753865015
"0.75",163.802315035619
"0.755",169.101537879751
"0.76",170.692633142156
"0.765",176.742594103966
"0.77",181.652321370003
"0.775",182.110322745265
"0.78",182.757893393255
"0.785",183.481497582941
"0.79",181.45431763082
"0.795",183.830000729751
"0.8",188.528856410788
"0.805",193.853299651218
"0.81",196.468785291
"0.815",195.105348953157
"0.82",195.329295190048
"0.825",199.699932632747
"0.83",206.983262976401
"0.835",205.1828917032
"0.84",202.893698929443
"0.845",202.079542841578
"0.85",201.799210116868
"0.855",205.919352614319
"0.86",201.403711406543
"0.865",205.906908421979
"0.87",210.478674860997
"0.875",219.641359658117
"0.88",215.76250331219
"0.885",222.456355456426
"0.89",225.621453078891
"0.895",230.862465048937
"0.9",233.496265416912
"0.905",231.70102974996
"0.91",228.945375240444
"0.915",227.766360034658
"0.92",227.328779804573
"0.925",230.118000238916
"0.93",227.261171365815
"0.935",238.554850663656
"0.94",243.528815962224
"0.945",246.246493459287
"0.95",240.189486038783
"0.955",243.158336975467
"0.96",245.313579972093
"0.965",244.275548189422
"0.97",251.316311567251
"0.975",255.119727088913
"0.98",253.939211452289
"0.985",258.38775099957
"0.99",265.717541644608
