"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12"
"b=0.005",4.33704198286644,2.94999797373276,2.83013924725974,2.26077847601029,2.30806184013437,2.3309466783884,2.56925403906743,2.2655991555005,2.09512344318969,2.00227878980197,1.9927356406726,1.92994500867949
"b=0.01",4.53016706633625,3.02428409455488,3.04228351593322,2.45400488183591,2.55761274310587,2.45465016143707,2.61634240901012,2.29873384251965,2.23482200685971,2.19421680160804,2.14826085657282,2.06651535802774
"b=0.015",4.7107288949432,3.12299681107999,3.18832756105618,2.62823584822951,2.87405711913468,2.68708724735795,2.76974030095792,2.47085675774614,2.51602691257487,2.34108761257408,2.33431854271761,2.219290457065
"b=0.02",4.9934546682448,3.24654874260953,3.29895808366848,2.81674247955072,2.94089752099752,2.75679344842877,2.87559100449659,2.56890214349336,2.67066096181015,2.51245733723964,2.39958948233314,2.4002468322314
"b=0.025",5.16784242384583,3.33483712072637,3.3672872623164,2.8023915264615,2.8673402525465,2.75958884664414,2.97028692501932,2.6464261675793,2.78981039835397,2.63037877962525,2.56107761435655,2.5750990009413
"b=0.03",5.16641990474977,3.37319900981595,3.47724502917036,2.78676582347327,2.81283642349896,2.88447110884886,3.09038070973872,2.84248949944381,3.0051751442738,2.84454212401329,2.83797575666324,2.67927695523648
"b=0.035",5.08328212414357,3.43950630687893,3.45773934164328,2.76749238079593,2.82585080325998,2.90695879773019,3.23804922049473,3.03320582273737,3.23906373787405,3.00255236741732,3.03476038745042,2.80310899389989
"b=0.04",4.97718366287636,3.47357819488475,3.50420382234504,2.80555271996152,2.91962832096601,3.02058465001251,3.39742282927402,3.21860640510145,3.42101514101735,3.17096535318619,3.15627879186275,3.10534678753172
"b=0.045",4.92927345543145,3.50278459138842,3.58514878185693,2.86501362485536,2.90786046726979,3.14471705392993,3.48683967469373,3.33660300387117,3.54971717787984,3.27813728246839,3.30142520858396,3.36758993161582
"b=0.05",4.95178756832181,3.60007418559652,3.67139141245443,2.89643231042148,2.94509990764509,3.21317024864517,3.56427772721665,3.36655708130324,3.75240638126159,3.48645538133945,3.57788820892895,3.68890147429764
"b=0.055",4.93023463426302,3.70368999305116,3.73260086197522,2.94490795505574,3.01496231752186,3.17469367040485,3.64845646748485,3.42288516614703,4.00469247865257,3.75434243846671,3.86064181447545,4.10906679650297
"b=0.06",4.99793069515259,3.8969051898007,3.77550021751217,3.08663929185873,3.06939400813613,3.19795771025729,3.78231303822095,3.50810926103724,4.32593943230715,4.15184037751941,4.20582647488261,4.4040334864759
"b=0.065",5.07092582167087,4.00078053485165,3.81794770109345,3.10690276468342,3.11681718271864,3.40829754318965,3.87376312677812,3.64272610709172,4.56600921695376,4.45402671252739,4.31972731457373,4.51901834175962
"b=0.07",5.16420143864917,3.99905590182505,3.88209399928977,3.12653101207996,3.22594508852242,3.48072560023408,3.95273838123103,3.73532445702145,4.67214817688438,4.58569125959038,4.41230974623087,4.40644025786627
"b=0.075",5.33625069332045,4.11123633429707,4.01124386543488,3.15945263949355,3.35164816618332,3.64353340888916,4.0829835318931,3.80648364500838,4.87354197910476,4.79268037378234,4.65463414606724,4.56012609021844
"b=0.08",5.54758705707348,4.24313151063213,4.10341167291209,3.2952776190871,3.48324596625267,3.74312599968022,4.20435033534791,3.96376337796219,5.11713119089337,4.99464716364039,4.98928355717391,4.89489935708768
"b=0.085",5.85070282565692,4.34710510554178,4.14563999979309,3.41088448826789,3.61126230751084,3.86544943829871,4.30368467422019,4.26017674711607,5.19015616191443,5.12788685388182,5.32741848247136,5.07813439740038
"b=0.09",6.06306026265959,4.43612386698224,4.20257912930378,3.47612730279192,3.86375098410906,4.08659642362652,4.47620887792734,4.48675023420214,5.30410878129048,5.16721244710873,5.57709137238925,5.33017399715191
